13.4	23.4	16.9	12.4	16.2	14.9	15.5	20.5	27.2	32	26.2	30.2	42.7	30	37.2	32.1	32.7	35.7	32.9	27.3	24.9	26.6	28.4	25.8	25.3	30.8	27.6	25.9	28.6
13.3	15.9	13.2	13.7	11.4	12	12.2	13.7	18.2	15.1	14.1	14.8	17.3	19.4	21	19.1	21	20.2	19.1	17.4	16.3	20.3	21.7	21.7	20.2	17.8	16.7	16.8	15.6
10.6	11.4	9.7	9.9	9	9.7	9.6	10.8	11.5	11	10.6	11.1	13.4	14	14.8	15.9	16.2	16	16	15.1	14.6	14	13.3	13.1	13.1	12.5	12.6	12.5	12.1
7.5	9	7.8	7.8	7	8.4	8.6	8.6	9.8	9.1	8.9	7.8	10.6	11.5	9.4	11.7	11.8	11.9	12.3	12.5	12.5	12.7	11.9	12	11.6	11.7	12.8	11.5	11.8
5.7	6.8	6.4	6.2	5.6	6.6	7.1	6.7	7.6	7.4	6.8	6.8	7.1	8.3	7.5	7.7	8.2	8.5	8.7	9.2	9.6	10	9.4	9.8	9.9	10.1	9.6	10.2	9.7
4.1	4.6	4.5	4.5	4.5	5.5	5.7	5.5	6.1	5.9	5.7	5.6	5.7	6.5	5.6	6.4	6.7	6.8	6.6	7.2	7.5	7.7	7.6	8.5	7.7	8.3	8.4	7.7	8.5
1.6	1.9	2	1.9	1.7	2	2.3	2.5	3.1	2.7	2.6	2.4	2.7	3.2	2.9	3	3.1	3.2	3.1	3.3	3.3	3.5	3.3	3.6	3.5	3.7	3.6	3.7	3.4
13.9	18.6	15.6	16.7	14.9	15.6	15.6	19.1	26.6	21.8	20.7	23.2	26.2	27.1	28	25.7	28.1	28.5	28.1	22.5	24.4	27.8	29.1	26.7	23.5	26.3	28.6	27.9	27.7
12.8	14.4	12	11.3	10	11.1	11.4	13.5	14.2	13.4	13.2	14	15.9	16.7	16.3	16.9	17.3	18	16.8	15	15	17.8	15.8	17.5	16	15.3	15.1	14.3	14.7
8.4	10.1	8.5	9.1	7.7	8.6	9.2	9.2	10.9	10	9.8	9.1	11.8	12.8	12.2	13.6	14	13.5	14	13.2	12.8	12	12	12.4	11.7	11.6	11.9	12.1	11.8
6.1	7.4	6.8	6.6	6.1	7.5	7.5	7.3	8.2	7.9	7.4	7.3	8.3	9.8	7.9	8.8	9.2	9.7	10	10.7	10.7	11	10	10.3	10.1	9.6	10.1	9.9	10.2
4.5	5.2	5.1	4.8	4.9	5.5	6.3	5.6	6.6	6.4	5.8	5.6	6.4	7	6.1	6.5	6.8	6.7	7	7.2	7.9	8.5	8.2	8	8.3	8.8	8.4	8.3	8.2
2.7	3.9	3.6	3.6	3.3	4	4.7	4.5	5.6	4.8	4.6	4.5	4.7	5	4.4	5	4.8	5	5.4	5.8	6.2	6.2	5.6	6.3	6.1	6.4	6.2	6.9	6.5
0.8	1.1	1.3	1.2	1.2	1.4	1.4	1.9	2.1	2	2	1.9	2	2.5	2.1	2.3	2.3	2.5	2.3	2.3	2.4	2.4	2.4	2.5	2.4	2.6	2.6	2.6	2.4
