700	400	600	600	600	800	800	900	800	600	500	700	700	800	600	700	600	500	1000	700	800	900	800	1100	800	800	600	900	1100	1100	800	800	600	800	1100	700	800
1500	1100	1300	1800	1400	1500	1900	1600	2000	1500	1700	1700	1900	1900	1300	1300	1200	1400	2200	1600	1300	2500	2100	2500	2500	2400	2800	2600	3000	2800	2200	2100	1200	2200	1500	1600	1500
1600	1400	1700	1700	2100	2200	2400	2400	3600	2900	3000	3100	3100	3900	4000	4100	3300	4200	5800	4300	4200	4300	4000	5800	5100	6100	5600	5600	7200	6200	6300	5600	5600	5600	5400	5100	3600
2900	2200	3600	4300	5100	4700	5100	4900	6300	6000	6700	7100	6900	7500	7900	7900	5900	7400	9300	8200	7900	7100	7600	9600	8900	8700	10600	11700	12500	11200	12000	9400	10100	11500	8600	8800	11100
1500	800	1600	1600	2100	1900	2200	2500	3000	3500	3400	2900	3400	3800	4700	4000	4300	5500	8200	6200	6400	6000	6800	9600	10300	8500	8500	9600	10800	9900	10000	9900	10000	11400	10900	10400	12600
2900	2200	3600	3800	4400	4300	4900	5700	5300	6900	7600	7600	8200	9400	10100	9600	9900	12000	14300	14800	14500	14100	16800	15500	16800	17000	17900	18100	18800	18300	20300	20500	19200	22100	20900	20800	24100
1100	900	1100	2000	1400	1400	1400	1600	1700	2500	2300	2300	2500	2600	3000	3000	2700	3100	4900	5000	5500	6100	5500	7700	8000	8900	9100	9100	10900	9300	10900	11100	10500	13400	14000	11900	14500
1700	1000	1500	2500	2900	2300	2600	3100	2700	4100	3800	5000	4100	4800	5500	5300	5300	6800	8600	9100	9400	9900	11300	13400	15500	15700	18000	16900	19200	20300	20400	20500	22600	23500	24500	24400	26100
600	300	300	800	700	1000	800	700	700	1000	1100	1200	1200	1100	1400	1000	1000	1900	2200	2200	2100	2800	2700	2800	2900	3900	3700	5500	5100	5800	6500	7200	7700	8200	9500	9200	9400
700	400	800	900	800	1200	1300	1700	1000	1900	1700	1700	1800	2000	1700	1500	2200	2500	3400	4000	3800	4800	5200	5000	6100	7400	7900	8300	9000	11500	12000	13000	14600	14500	14700	16600	17900
300	100	300	300	300	300	300	300	300	600	600	600	500	500	800	600	1000	900	700	1100	1000	1100	1200	1500	1500	1600	1700	1700	2100	2300	2900	2400	2900	3400	3200	3600	3200
200	0	200	300	300	500	300	500	400	700	500	600	1000	600	900	700	1000	1000	1100	1300	1200	2200	2200	1800	3200	2800	2900	3200	3500	4300	4800	4700	5600	7100	5700	6800	7200
