21607	22721	23789	24058	23909	24011	23755	23485	23235	22461	21790	21492	21019	20270	19842	19370	18950	18907	18948	19418	19108	18473	18350	17955	17768	17945	18296	18322	18122
21584	22684	23738	24011	23881	23989	23751	23498	23256	22490	21828	21531	21062	20315	19884	19415	18997	18948	18982	19444	19132	18497	18374	17983	17799	17972	18315	18339	18139
21494	22538	23536	23825	23767	23902	23733	23551	23340	22607	21980	21687	21234	20497	20053	19593	19185	19112	19117	19550	19230	18593	18468	18095	17921	18079	18390	18408	18206
21269	22171	23029	23358	23482	23685	23690	23684	23549	22899	22361	22078	21663	20951	20474	20039	19654	19523	19455	19813	19475	18832	18703	18375	18226	18347	18578	18580	18375
20908	21585	22219	22612	23026	23337	23621	23896	23884	23367	22971	22704	22349	21678	21149	20752	20406	20181	19996	20234	19867	19216	19080	18823	18714	18777	18878	18854	18644
20480	20888	21256	21725	22486	22924	23540	24149	24281	23921	23694	23446	23165	22541	21949	21599	21298	20962	20639	20734	20333	19671	19528	19356	19294	19286	19235	19181	18964
20112	20298	20443	20974	22009	22551	23430	24305	24564	24355	24277	24062	23858	23282	22645	22339	22077	21651	21217	21188	20758	20092	19935	19826	19799	19726	19542	19462	19243
19856	19915	19927	20488	21641	22231	23224	24216	24564	24510	24553	24416	24314	23796	23152	22890	22655	22187	21706	21583	21137	20480	20293	20197	20169	20038	19758	19662	19452
19689	19728	19700	20252	21317	21889	22800	23715	24124	24284	24442	24479	24553	24125	23535	23332	23113	22665	22217	22018	21570	20947	20691	20534	20455	20254	19903	19800	19620
19545	19626	19609	20126	20953	21459	22146	22840	23308	23765	24059	24369	24703	24406	23920	23799	23593	23208	22853	22571	22131	21564	21202	20922	20748	20454	20033	19928	19798
19400	19550	19563	20033	20555	20974	21373	21786	22315	23113	23559	24192	24830	24685	24328	24301	24108	23805	23568	23198	22767	22270	21781	21351	21059	20661	20165	20059	19989
19309	19506	19538	19953	20213	20556	20716	20894	21471	22542	23110	24000	24879	24867	24634	24695	24529	24311	24183	23745	23330	22891	22301	21748	21353	20868	20313	20200	20172
19354	19550	19572	19899	19976	20259	20285	20320	20920	22106	22733	23733	24713	24797	24704	24844	24752	24643	24610	24156	23771	23371	22735	22119	21645	21111	20531	20389	20361
19626	19745	19709	19867	19826	20055	20059	20051	20641	21736	22346	23263	24157	24314	24429	24664	24741	24813	24888	24491	24169	23793	23181	22576	22032	21491	20928	20715	20621
20103	20078	19942	19842	19698	19866	19917	19920	20478	21329	21868	22560	23231	23460	23873	24234	24577	24917	25131	24849	24626	24267	23730	23184	22561	22040	21526	21201	20983
20679	20480	20222	19820	19570	19672	19796	19831	20346	20887	21332	21738	22124	22430	23188	23691	24350	25003	25374	25234	25129	24785	24346	23880	23171	22680	22227	21768	21402
21187	20842	20490	19849	19519	19562	19739	19792	20255	20529	20889	21058	21207	21572	22602	23220	24131	25031	25537	25538	25536	25219	24877	24485	23709	23248	22848	22281	21791
21581	21154	20767	20033	19677	19676	19849	19891	20265	20353	20644	20676	20688	21072	22209	22879	23897	24900	25498	25657	25737	25479	25252	24928	24130	23703	23335	22716	22161
