1990	311264
1991	340379
1992	380944
1993	408924
1994	459698
1995	510991
1996	602572
1997	672635
1998	747195
1999	729042
2000	754524
2001	812110
2002	793006
2003	747935
2004	753398
2005	797948
2006	875471
2007	1005517
2008	1196737
2009	1253697
2010	1305011
2011	1394437
2012	1494232
2013	1554411
2014	1598985
2015	1632312
2016	1673724
2017	1646457
2018	1644393
2019	1677360
