63700	59200	58100	55200	54400	53300	51400	49200	56900	51000	50100	45900	47300	43600	43200	44100	38600	42600	46300	41200	35200	35300	32100	37600	30400	30500	31000	30000	33900	27800	23000	23400	22300	24500	29300	28100	27200
109000	107100	106200	100800	99800	104200	95900	93400	106500	100200	99600	90400	97400	88600	95000	92900	88900	93600	93700	88700	78200	78900	73700	79000	69800	69500	66100	64000	68500	57500	52800	50000	44800	49300	52600	49700	48900
130700	147800	161300	167500	172400	184500	185300	184900	198600	205200	202300	199800	211500	212800	221200	217900	216600	221200	213300	217300	212600	207800	201900	202100	197000	204400	194900	195600	201100	192500	187700	184700	183300	185400	182400	186200	184500
132100	152200	166900	177500	184500	192400	203000	202800	209900	215600	220300	224600	235100	236900	242100	241200	244600	244400	236700	247000	250200	242700	238200	241500	237400	241300	235900	243500	238600	233900	229100	225100	219800	227700	220400	226000	224000
103200	111000	118900	120100	118300	128200	141000	143000	146100	159500	170200	191100	195900	209500	226000	230600	238500	235000	236000	246300	252000	256400	263200	257700	264900	263100	261400	259500	252100	252500	255900	251300	240100	243700	237500	254000	245100
95900	108900	115500	114600	118600	122500	131400	137300	135300	153300	160300	175000	179300	192200	207900	215000	222400	220400	223200	228200	236700	241800	249000	245000	260100	263200	256900	256000	250200	253700	258900	255200	245100	245400	247800	256400	250500
74200	84900	85900	86000	92700	92200	93200	100900	95700	109600	113400	114100	114600	113500	114700	128400	135000	142200	145700	153100	170300	182300	194900	196300	219000	222800	222700	225800	235000	243800	247900	249100	253900	256500	252700	247900	254500
54900	65700	69400	73100	72500	77200	80700	87500	82000	92300	96900	98200	100500	99900	95800	112700	118300	121600	126800	129700	144000	156000	166000	174500	185100	191800	195300	200700	208200	220300	227300	230000	235200	232000	234900	219300	230700
44500	49700	49300	50700	51600	54400	55100	57600	58300	64000	65200	69900	70000	74000	71500	76100	77100	81300	83000	86600	92100	97400	98600	94100	104900	108200	116000	125300	130300	144300	150800	162700	179800	180800	193300	193500	197900
26000	28800	32200	32600	33400	33500	34300	38800	38700	41100	42200	47500	46600	54600	51100	55400	58700	60000	64900	65800	73700	76700	75500	76200	84600	87900	94000	107000	105600	115600	123500	128800	148400	150400	158400	164400	166600
19100	23400	25800	26800	27600	26800	27200	28000	30800	32000	32000	36500	35400	38700	40200	39500	44700	46200	46500	48200	52000	56100	56000	59200	67100	65500	70000	77100	75800	83300	86700	91800	101500	93800	98600	116500	115900
7900	10300	13800	13000	12500	12600	12100	13100	15800	14500	15200	15500	15200	18400	18000	22300	24900	19700	26100	22500	24800	28000	29300	36500	36900	38200	38800	46500	44600	50400	54900	59100	65700	55900	66500	76200	80800
