1.2	1.4	1.3	1.6	1.4	1.2	1.5	1.2	1.3	1.4	1.7	1.8	1.5	1.2	1.1	1	1	0.9	0.9	0.8	0.7	0.7	0.6	0.6	0.5	0.6	0.4	0.4
35.1	35.4	32.5	29.4	29.5	29.3	28	33.2	26.9	28.8	23.7	22	20.5	18.7	19	17.4	16.7	15.9	14.4	12.7	11.7	11.1	12.2	10.9	10.7	10.1	9.2	9.3
107.6	109.4	113.7	108.3	107.9	113.1	110.1	119.1	100.5	118.3	104	98.5	101.1	96.2	85.9	85.3	84.4	82	83	79.5	71.8	79.6	77.8	71.5	77	76.4	78.2	81.7
96.4	107.6	108.9	106.1	110.7	108	113.4	110.7	101.5	110.2	98.3	104.3	104.4	107.4	108.2	106.1	108.3	112.7	111.8	112.1	102.7	117.9	117.8	109.9	127.2	132.5	131.2	130.1
68.5	77.5	79.5	78.5	77.9	70.8	72.2	77.2	67.2	71.1	64.5	73.3	70.7	64.4	80.4	78.1	84.8	83.7	84.9	92	77.9	89.2	96.5	86.2	89.1	90.6	88.8	90.9
41.6	51.2	50.4	52.7	55.8	54.8	52	47.4	49.4	49.8	43.8	44.8	42.5	41.7	48.9	54.8	48.4	55.9	58.5	55.9	52.1	58.5	65.2	56	61	54.6	58.3	59.8
28.3	33.9	38.5	40.2	39	35.2	34.6	35.5	32.9	36.6	30.9	30.3	30.8	29.3	31.4	39.2	37.8	38.6	37	40.6	36.7	41.2	39.8	36	35.7	36.3	35.5	37.1
18.1	22.7	25.6	26.9	23.6	19	21.9	25.9	25.9	30.9	21	23.2	17.8	21.5	27.4	30.1	28.2	25	25	26.5	23.8	30.1	27	26.8	26.6	23.4	21.4	24.4
10.1	13.6	14.4	23.2	18.4	16.6	13.8	14.7	18	18.1	15.5	16.5	19.1	16.9	18.2	21.6	19.3	22.8	22	20.7	19.8	23.3	21	16.1	17.6	17.3	14.5	16.1
6.3	9.1	7.7	9.7	9	11.1	8	10.9	10.2	10.4	12.1	10.5	10.8	7.5	10.4	13.5	16.1	14.6	13.1	14.7	12.8	17.5	15.6	11.9	12.4	12.5	12.5	10.6
1.8	3	2.3	3.3	2.4	3.2	2.9	3.1	2.5	2.8	3	3.2	2.5	2.2	3	4.8	4.3	3.2	3.7	4.5	2.9	4.2	5.1	4.1	3.9	4	4	3.9
11	10.8	10.1	8.8	7.9	7.5	7	6.6	7.6	7.2	7.4	6.9	6.3	5.3	5	4.6	3.9	3.8	3.1	2.6	2.8	2.4	2.3	2.2	1.7	1.7	1.7	1.5
84.8	84.7	78.8	72	71	70.1	65.4	75.2	58.7	66.3	54.3	51.5	50.1	45.9	43.3	38.5	37.4	34	30.9	26.9	22.6	23.5	24.4	21.3	22.3	20.9	19.9	19.8
133	138	133.5	132.8	134.2	135.7	137.3	149.1	123.9	151	133	122.8	125.6	126	111.2	114.1	110.4	111.5	114.5	108.5	99	108	106.7	97.4	103.8	107.2	106.8	108.8
69.1	76.4	74.4	74.5	77.6	76.5	74	82.2	70.5	84.8	69.8	70.2	75.2	75.1	75.9	70.6	78.9	84.2	79.8	88.2	81	96	96.2	89.2	105.3	106.5	105.8	101.6
36.6	37.4	36.7	38.3	38.8	37.3	35.7	40.1	34.6	38.4	32.4	33.4	32.9	29.2	34.1	32.1	33.5	39.7	38.8	39.2	36.3	42.4	43.2	44.6	44.3	48.2	48.9	51.2
14.7	15.6	17.5	17.9	16.7	16.9	19	19.6	16.8	18	17.2	14.8	14.1	15.9	16.4	15	17.5	18.3	18.7	17.3	16.2	20.7	21	19.4	19.5	21.1	21.3	22.4
6.7	8.8	9.2	10.9	9.9	8.3	8.2	9.9	8.5	9.7	8.2	7.4	7.9	8.9	8.9	9.1	8.3	9	9.6	10.1	10.4	10.2	10.5	10.2	11.7	10.4	11.7	12
3.6	3.8	3.7	3.3	3.2	3.3	3.6	5.3	5	4.6	4.2	3.4	3.4	3.4	4.1	4.3	4.3	4.4	4.3	5.5	5.5	6.1	5.7	5.2	5.4	6.7	5.5	5.6
0.8	1.3	1.2	1.5	1.3	2.6	1.3	1.6	1.3	1.7	1.6	1.8	2.2	2.1	2.2	2.1	2.2	1.5	2.3	2.7	2.2	2.3	2.7	2.7	2.8	2.6	2.4	2.9
0.3	0.6	0.4	0.6	0.4	0.6	0.7	0.9	0.7	1.1	0.8	1	0.6	0.5	0.6	1.1	0.8	0.7	1	1	0.9	1.3	1.3	0.9	1	1.3	1.4	1.3
0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.1	0.2	0.2	0.2
