29976	30512	30656	30738	30720	30583	30545	30291	30022	29271	28498	27974	28041	27630	27728	27989	27926	28063	27809	28557	28629	28356	28062	28115	27746	27577	27238	26728	27000
29494	30177	30499	30730	30874	30889	30956	30748	30524	29853	29151	28686	28713	28268	28251	28415	28306	28450	28197	28969	29072	28802	28522	28437	27990	27776	27418	26886	27146
28708	29551	30100	30508	30814	31008	31205	31090	30978	30504	29952	29577	29529	28961	28720	28720	28572	28749	28653	29487	29626	29319	29022	28723	28251	28024	27728	27272	27512
27779	28791	29584	30179	30648	31033	31372	31373	31404	31176	30807	30539	30404	29681	29178	28989	28807	29024	29158	30070	30248	29889	29565	29011	28532	28304	28102	27759	27975
26868	28036	29031	29790	30404	30960	31433	31555	31727	31730	31537	31375	31172	30323	29606	29259	29055	29300	29606	30563	30764	30361	30019	29267	28793	28565	28438	28189	28372
26011	27307	28411	29280	30006	30688	31282	31536	31834	32019	31982	31922	31702	30807	30008	29583	29380	29617	29961	30877	31059	30627	30294	29471	29033	28817	28723	28524	28639
25102	26511	27616	28542	29355	30124	30837	31255	31680	32009	32123	32175	31999	31159	30433	30020	29850	30031	30292	31016	31108	30663	30383	29662	29324	29139	29021	28821	28793
24051	25573	26597	27545	28433	29268	30115	30738	31306	31766	32043	32228	32150	31447	30924	30594	30486	30568	30677	31072	31009	30558	30371	29886	29708	29575	29393	29157	28909
22910	24539	25452	26412	27375	28274	29261	30105	30821	31408	31855	32183	32227	31699	31431	31218	31184	31152	31104	31103	30854	30397	30322	30134	30148	30076	29811	29526	29018
21784	23475	24308	25291	26327	27304	28422	29448	30292	30992	31588	32052	32222	31865	31837	31742	31782	31657	31467	31146	30747	30293	30306	30356	30515	30485	30151	29830	29119
20653	22302	23136	24179	25298	26395	27626	28745	29674	30463	31168	31753	32054	31850	32008	32027	32139	31979	31710	31233	30766	30330	30378	30542	30735	30700	30322	29999	29214
19354	20821	21764	22922	24146	25436	26772	27881	28853	29713	30492	31195	31652	31601	31901	32046	32239	32109	31845	31416	30986	30601	30612	30733	30799	30686	30288	30014	29331
17778	18936	20083	21412	22769	24332	25777	26796	27783	28707	29541	30374	31023	31141	31567	31861	32150	32105	31941	31700	31383	31079	31001	30968	30778	30520	30114	29933	29489
16087	16887	18271	19786	21281	23135	24686	25588	26580	27570	28456	29427	30279	30573	31118	31572	31966	32033	32028	32034	31863	31657	31466	31232	30725	30293	29882	29814	29668
14597	15089	16662	18312	19898	21957	23571	24385	25395	26451	27405	28503	29523	29964	30617	31214	31711	31895	32064	32284	32242	32125	31846	31453	30694	30123	29713	29734	29830
13552	13872	15504	17161	18728	20778	22354	23165	24228	25361	26429	27637	28741	29265	30010	30714	31313	31622	31960	32329	32391	32354	32045	31586	30721	30090	29696	29753	29965
12933	13228	14763	16262	17663	19431	20831	21749	22919	24152	25410	26720	27812	28351	29180	29962	30675	31138	31605	32071	32232	32289	32031	31629	30847	30261	29911	29932	30104
12574	12957	14263	15460	16561	17802	18901	20023	21353	22715	24244	25662	26667	27169	28085	28928	29780	30436	31012	31563	31842	32020	31875	31622	31063	30599	30321	30254	30276
12312	12825	13847	14684	15435	16056	16806	18165	19669	21166	22985	24507	25399	25847	26853	27758	28759	29621	30301	30939	31349	31665	31661	31598	31323	31015	30822	30642	30468
12078	12700	13459	13976	14425	14512	14965	16512	18140	19725	21750	23334	24142	24558	25652	26630	27768	28799	29627	30342	30865	31305	31431	31535	31506	31339	31225	30957	30627
11829	12493	13054	13362	13635	13420	13705	15312	16942	18504	20526	22071	22878	23325	24505	25594	26843	27959	28949	29725	30329	30873	31119	31355	31501	31453	31411	31112	30714
11527	12151	12569	12780	13015	12752	13014	14525	15996	17390	19139	20512	21424	21988	23263	24527	25870	26975	28038	28874	29537	30189	30576	30931	31199	31278	31322	31069	30721
11149	11666	11968	12158	12458	12341	12689	13972	15143	16236	17472	18551	19660	20422	21809	23319	24753	25769	26783	27689	28408	29194	29767	30259	30643	30881	31036	30889	30676
10734	11117	11315	11514	11918	12022	12499	13498	14313	15055	15686	16424	17763	18748	20249	22020	23538	24439	25336	26322	27100	28034	28821	29462	29967	30384	30667	30652	30612
10342	10606	10719	10932	11426	11734	12320	13057	13557	13994	14104	14550	16071	17226	18799	20754	22316	23130	24020	25079	25923	26989	27948	28716	29325	29895	30293	30400	30514
9996	10188	10250	10471	11005	11436	12067	12608	12902	13162	12973	13257	14832	16024	17569	19513	21031	21839	22867	23996	24938	26103	27147	27995	28682	29355	29849	30071	30306
9659	9827	9878	10097	10613	11085	11683	12084	12284	12503	12262	12523	13998	15059	16445	18128	19481	20385	21585	22801	23921	25170	26192	27073	27821	28554	29150	29509	29858
9293	9472	9538	9751	10200	10652	11156	11444	11626	11906	11796	12144	13388	14173	15279	16477	17551	18643	19943	21278	22666	24006	24934	25823	26636	27413	28135	28677	29159
8906	9110	9203	9407	9771	10178	10562	10751	10944	11325	11420	11895	12853	13306	14084	14712	15465	16775	18084	19554	21257	22697	23498	24388	25270	26091	26954	27705	28333
8531	8758	8880	9079	9367	9731	10008	10116	10326	10795	11078	11661	12355	12514	13010	13146	13623	15105	16467	18033	19969	21474	22182	23082	24030	24900	25888	26809	27561
8169	8409	8556	8757	9002	9337	9547	9608	9828	10336	10737	11361	11860	11833	12160	12015	12335	13867	15285	16845	18818	20304	20998	21935	22946	23898	24982	25988	26818
7771	8014	8184	8400	8634	8955	9137	9191	9411	9902	10346	10936	11297	11197	11479	11282	11575	13010	14382	15782	17497	18826	19624	20653	21747	22855	24022	25012	25875
7301	7538	7734	7975	8225	8539	8724	8797	9013	9440	9874	10366	10620	10525	10853	10779	11142	12352	13467	14571	15784	16833	17833	19008	20216	21562	22823	23727	24600
6796	7021	7245	7513	7788	8100	8297	8403	8613	8958	9360	9728	9888	9830	10239	10355	10826	11760	12496	13241	13839	14550	15797	17145	18484	20109	21473	22261	23138
6325	6540	6784	7073	7368	7677	7888	8026	8233	8506	8875	9132	9217	9194	9674	9966	10528	11210	11636	12083	12174	12606	14046	15522	16954	18785	20218	20921	21808
5927	6129	6378	6672	6972	7273	7493	7659	7870	8101	8445	8630	8672	8667	9176	9579	10178	10674	10957	11235	11047	11326	12831	14325	15757	17616	19037	19726	20646
5563	5749	5986	6262	6550	6834	7060	7253	7478	7698	8026	8177	8211	8202	8693	9138	9710	10080	10332	10585	10380	10648	12045	13393	14680	16300	17576	18359	19357
5186	5351	5561	5800	6061	6321	6548	6770	7020	7253	7569	7712	7765	7735	8169	8605	9097	9376	9607	9922	9865	10212	11366	12432	13449	14607	15622	16587	17711
4799	4941	5117	5310	5537	5770	5997	6247	6526	6780	7085	7232	7316	7256	7617	8026	8416	8617	8807	9219	9376	9838	10686	11406	12096	12688	13386	14576	15847
4443	4563	4707	4859	5053	5260	5484	5755	6053	6326	6620	6775	6890	6797	7096	7477	7777	7917	8104	8593	8927	9481	10069	10499	10918	11043	11479	12842	14221
4142	4242	4361	4481	4648	4831	5044	5318	5619	5898	6181	6347	6490	6357	6626	6986	7229	7337	7565	8088	8525	9116	9532	9787	10050	9917	10206	11626	13016
3869	3950	4048	4143	4285	4446	4637	4892	5170	5440	5711	5893	6065	5879	6152	6497	6720	6828	7103	7604	8059	8617	8941	9139	9378	9225	9496	10809	12062
3588	3647	3724	3799	3915	4052	4210	4427	4661	4909	5165	5369	5574	5318	5623	5957	6184	6318	6590	7029	7454	7925	8187	8393	8687	8664	8994	10073	11065
3297	3335	3392	3448	3537	3649	3769	3940	4122	4343	4582	4809	5048	4717	5064	5388	5629	5798	6030	6391	6766	7127	7334	7573	7952	8117	8539	9325	9999
