37.9	35.7	36.3	32.5	33.6	30.5	28.3	27.2	25.5	23.3	22.2	22.5	22.6	23.7	19.7	15.9	13.7	14.6	14.9	14.3	8.3	9	11.6	9.7	7.5	8.3	6.1	6	5.6	6.5	7.1	5.8	5.2	5	4.3	4.3	3.5	4	4.1	3.2	2.8	2.4	3.4	2.8	2.2	2.4	2.8	2.6	2.6	2.6	1.9	2.3	2	1.8	1.9	2.2	2.3	2	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.1	2.1	2.1	2	2	2	2	2	2	1.9	1.9	1.9	1.8	1.8	1.8	1.8	1.8	1.7	1.7	1.7	1.7	1.6	1.6	1.6	1.6
3.5	2.9	2.5	2.2	2.1	2	2	1.6	1.8	1.3	1.5	1.1	1	1.3	1	0.8	0.8	0.7	0.8	0.6	0.7	0.5	0.6	0.6	0.7	0.3	0.4	0.4	0.4	0.3	0.4	0.3	0.3	0.3	0.4	0.4	0.4	0.3	0.3	0.2	0.3	0.3	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.8	0.8	0.8	0.8	0.7	0.7	0.6	0.6	0.4	0.5	0.4	0.5	0.7	0.5	0.4	0.4	0.4	0.4	0.3	0.2	0.3	0.3	0.2	0.3	0.2	0.2	0.3	0.2	0.3	0.2	0.2	0.3	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0.8	0.8	0.6	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.5	0.5	0.6	0.7	0.5	0.5	0.5	0.4	0.3	0.4	0.3	0.3	0.4	0.4	0.3	0.3	0.3	0.3	0.2	0.3	0.3	0.2	0.4	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.3	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1.1	1.5	1	1	0.9	0.9	0.9	0.7	0.8	1	1.2	1.1	1.2	1	0.7	0.7	0.8	0.8	0.8	0.8	0.7	0.9	0.9	0.8	0.7	0.9	0.7	0.5	0.5	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.3	0.4	0.3	0.5	0.3	0.3	0.2	0.2	0.3	0.3	0.2	0.2	0.2	0.3	0.3	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
1.1	1.5	1.3	1.4	1.5	1.6	1.8	1.1	1.5	1.4	1.3	1.5	1.5	1.5	1.4	1.4	1.2	1	1.4	1.2	1.2	0.9	1.1	1	1	0.8	0.9	0.8	0.9	0.7	0.8	0.7	0.8	0.8	0.7	0.7	0.7	0.8	0.6	0.7	0.7	0.7	0.6	0.8	0.7	0.6	0.5	0.6	0.4	0.5	0.4	0.5	0.5	0.4	0.4	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
1.4	1.5	1.5	1.4	1.5	1.5	1.3	1.3	1.6	1.7	1.3	1.6	1.5	1.5	1.3	1.4	1.2	1.4	1.5	1.2	1.2	1.2	1	0.9	1	1	0.9	0.8	0.8	0.8	0.8	0.8	0.8	0.6	0.7	0.6	0.7	0.6	0.6	0.6	0.6	0.7	0.6	0.6	0.4	0.5	0.5	0.7	0.5	0.5	0.4	0.4	0.4	0.3	0.3	0.4	0.4	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2	1.7	1.8	2.2	1.8	1.9	1.9	1.8	1.6	1.2	1.4	1.5	1.4	1.5	1.8	1.8	1.5	1.2	1.8	1.2	1.3	1.1	1.2	1.1	1	1.2	1	1	0.9	1	0.9	0.9	0.9	0.7	0.8	0.8	0.8	0.8	0.8	0.7	0.8	0.7	0.6	0.8	0.7	0.6	0.6	0.5	0.5	0.6	0.4	0.5	0.4	0.6	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
3.4	3.1	3.1	2.8	2.6	3	2.9	2.8	2.7	2.7	2.7	2.7	2.3	2.3	2.4	2.3	2.4	2.3	2.1	1.8	1.6	1.6	1.6	1.4	1.7	1.6	1.4	1.5	1.6	1.3	1.4	1.2	1.2	1	1.3	1.3	1.2	1	1.1	1	1.3	1	1.1	0.9	0.9	1	0.9	0.9	0.9	0.8	0.8	0.7	0.6	0.6	0.7	0.7	0.6	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
5.4	5.1	4.9	4.7	5.3	4.4	3.4	4.7	4.6	4.4	4.1	4.5	4	4.4	3.8	4.1	3.9	3.6	3.4	3.6	2.9	2.6	2.7	2.7	2.6	2.3	2.4	2.2	2.4	2.3	2.1	1.9	2.1	2	2	1.8	2	1.9	1.7	1.7	1.8	1.6	1.6	1.6	1.6	1.5	1.6	1.5	1.4	1.2	1.3	1	1.2	1.2	1.3	1.1	1.1	1.1	0.9	0.9	0.9	0.9	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
